num_crops,global_id,identity_key,label,true_label,camera,camera_id,scene,object_type,is_occluded,occluded_crop_ratio,start_frame,end_frame,example_crop_path,track_id,cluster_label,cluster_as_identity,cluster_purity,is_noise,is_misclustered,x,y,x3d,y3d,z3d
61,Person_0000,Hospital_000__Person_0000,0,0,Camera,0,Hospital_000,Person,1,0.4918032786885246,0,4200,/pfs/data6/home/st/st_us-053000/st_st191959/DL-Lab/DataSet/MTMC_Tracking_2025_Preprocessed/val/Hospital_000/crops/Person_0000/Camera/Person_0000_Camera_f000000_r003.jpg,None,0,Hospital_000__Person_0000,0.5,False,False,0.17224301,0.19461043,0.17224325,0.19461174,0.019607645
336,Person_0000,Hospital_000__Person_0000,0,0,Camera_03,13,Hospital_000,Person,1,0.6666666666666666,0,7950,/pfs/data6/home/st/st_us-053000/st_st191959/DL-Lab/DataSet/MTMC_Tracking_2025_Preprocessed/val/Hospital_000/crops/Person_0000/Camera_03/Person_0000_Camera_03_f000000_r006.jpg,None,1,Hospital_000__Person_0000,1.0,False,False,0.10157748,0.22199784,0.1015772,0.22199938,0.007758741
3,Person_0000,Hospital_000__Person_0000,0,0,Camera_04,14,Hospital_000,Person,0,0.0,270,5850,/pfs/data6/home/st/st_us-053000/st_st191959/DL-Lab/DataSet/MTMC_Tracking_2025_Preprocessed/val/Hospital_000/crops/Person_0000/Camera_04/Person_0000_Camera_04_f000270_r003.jpg,None,-1,NOISE,0.0,True,False,0.029868867,0.09476322,0.029868852,0.094762795,-0.046517204
447,Person_0000,Hospital_000__Person_0000,0,0,Camera_05,15,Hospital_000,Person,1,0.6532438478747203,300,8970,/pfs/data6/home/st/st_us-053000/st_st191959/DL-Lab/DataSet/MTMC_Tracking_2025_Preprocessed/val/Hospital_000/crops/Person_0000/Camera_05/Person_0000_Camera_05_f000300_r003.jpg,None,1,Hospital_000__Person_0000,1.0,False,False,0.12277818,0.16321437,0.122778125,0.16321494,0.038641065
736,Person_0000,Hospital_000__Person_0000,0,0,Camera_06,16,Hospital_000,Person,1,0.6657608695652174,0,8940,/pfs/data6/home/st/st_us-053000/st_st191959/DL-Lab/DataSet/MTMC_Tracking_2025_Preprocessed/val/Hospital_000/crops/Person_0000/Camera_06/Person_0000_Camera_06_f000000_r004.jpg,None,1,Hospital_000__Person_0000,1.0,False,False,0.19816433,0.2036281,0.19816425,0.20362978,0.017876932
291,Person_0000,Hospital_000__Person_0000,0,0,Camera_08,18,Hospital_000,Person,1,0.4329896907216495,270,8970,/pfs/data6/home/st/st_us-053000/st_st191959/DL-Lab/DataSet/MTMC_Tracking_2025_Preprocessed/val/Hospital_000/crops/Person_0000/Camera_08/Person_0000_Camera_08_f000270_r003.jpg,None,-1,NOISE,0.0,True,False,0.05170981,0.19944586,0.051709723,0.19944593,-0.0042142593
875,Person_0000,Hospital_000__Person_0000,0,0,Camera_09,19,Hospital_000,Person,1,0.6651428571428571,150,8970,/pfs/data6/home/st/st_us-053000/st_st191959/DL-Lab/DataSet/MTMC_Tracking_2025_Preprocessed/val/Hospital_000/crops/Person_0000/Camera_09/Person_0000_Camera_09_f000150_r005.jpg,None,1,Hospital_000__Person_0000,1.0,False,False,0.14800467,0.20701441,0.14800465,0.20701583,-0.013967466
11,Person_0000,Hospital_000__Person_0000,0,0,Camera_20,30,Hospital_000,Person,1,0.5454545454545454,1020,4230,/pfs/data6/home/st/st_us-053000/st_st191959/DL-Lab/DataSet/MTMC_Tracking_2025_Preprocessed/val/Hospital_000/crops/Person_0000/Camera_20/Person_0000_Camera_20_f001020_r003.jpg,None,-1,NOISE,0.0,True,False,0.039923444,0.10654088,0.039923374,0.106542,-0.023613073
756,Person_0000,Hospital_000__Person_0000,0,0,Camera_22,32,Hospital_000,Person,1,0.6613756613756614,210,8970,/pfs/data6/home/st/st_us-053000/st_st191959/DL-Lab/DataSet/MTMC_Tracking_2025_Preprocessed/val/Hospital_000/crops/Person_0000/Camera_22/Person_0000_Camera_22_f000210_r004.jpg,None,1,Hospital_000__Person_0000,1.0,False,False,0.15571599,0.2230191,0.15571596,0.22302026,0.013889997
2,Person_0000,Hospital_000__Person_0000,0,0,Camera_23,33,Hospital_000,Person,0,0.0,3660,4200,/pfs/data6/home/st/st_us-053000/st_st191959/DL-Lab/DataSet/MTMC_Tracking_2025_Preprocessed/val/Hospital_000/crops/Person_0000/Camera_23/Person_0000_Camera_23_f003660_r006.jpg,None,-1,NOISE,0.0,True,False,-0.22525208,0.00963015,-0.22525199,0.009629341,-0.0765967
