rank,accuracy
1,0.9247027741083224
2,0.9458388375165125
3,0.9570673712021136
4,0.9656538969616909
5,0.9715984147952443
6,0.9742404227212682
7,0.976882430647292
8,0.9808454425363277
9,0.9854689564068693
10,0.9887714663143989
11,0.9894319682959049
12,0.9900924702774109
13,0.9907529722589168
14,0.9914134742404227
15,0.9914134742404227
16,0.9914134742404227
17,0.9914134742404227
18,0.9920739762219286
19,0.9920739762219286
20,0.9927344782034346
21,0.9927344782034346
22,0.9933949801849405
23,0.9933949801849405
24,0.9933949801849405
25,0.9933949801849405
26,0.9940554821664465
27,0.9940554821664465
28,0.9940554821664465
29,0.9947159841479525
30,0.9947159841479525
31,0.9947159841479525
32,0.9947159841479525
33,0.9947159841479525
34,0.9947159841479525
35,0.9947159841479525
36,0.9947159841479525
37,0.9953764861294584
38,0.9953764861294584
39,0.9953764861294584
40,0.9953764861294584
41,0.9953764861294584
42,0.9953764861294584
43,0.9960369881109643
44,0.9960369881109643
45,0.9960369881109643
46,0.9960369881109643
47,0.9960369881109643
48,0.9960369881109643
49,0.9960369881109643
50,0.9960369881109643
